Gemeinde;AGS;Mietenstufe
Laudenbach;8226040;2
Lauf;8317068;1
Laufenburg;8337066;2
Lauffen am Neckar;8125056;4
Laupheim;8426070;3
Lautenbach;8317067;1
Lauterach;8425073;2
Lauterbach;8325036;1
Lauterstein;8117061;2
Lehrensteinsfeld;8125057;2
Leibertingen;8437072;1
Leimen;8226041;5
Leinfelden-Echterdingen;8116078;6
Leingarten;8125058;4
Leinzell;8136040;2
Lenningen;8116079;3
Lenzkirch;8315068;3
Leonberg;8115028;6
Leutenbach;8119042;3
Leutkirch im Allgäu;8436055;2
Lichtenau;8216028;2
Lichtenstein;8415092;2
Lichtenwald;8116037;3
Limbach;8225052;1
Linkenheim-Hochstetten;8215105;2
Lobbach;8226104;2
Löchgau;8118047;4
Loffenau;8216029;2
Löffingen;8315070;3
Lonsee;8425075;2
Lorch;8136042;3
Lörrach;8336050;4
Loßburg;8237045;1
Lottstetten;8337070;2
Löwenstein;8125059;2
Ludwigsburg;8118048;5
Magstadt;8115029;4
Mahlberg;8317073;1
Mahlstetten;8327033;1
Mainhardt;8127052;1
Malsburg-Marzell;8336104;3
Malsch;8215046;3
Malsch;8226046;2
Malterdingen;8316024;2
Mannheim;8222000;5
Marbach am Neckar;8118049;5
March;8315132;3
Markdorf;8435034;4
Markgröningen;8118050;4
Marxzell;8215047;2
Maselheim;8426071;1
Massenbachhausen;8125061;2
Mauer;8226048;2
Maulbronn;8236038;2
Maulburg;8336057;3
Meckenbeuren;8435035;4
Meckesheim;8226049;2
Meersburg;8435036;4
Mehrstetten;8415048;2
Meißenheim;8317075;1
Mengen;8437076;1
Merdingen;8315072;3
Merklingen;8425079;2
Merzhausen;8315073;3
Meßkirch;8437078;1
Meßstetten;8417044;1
Metzingen;8415050;4
Michelbach an der Bilz;8127056;1
Michelfeld;8127059;1
Mietingen;8426073;1
Mittelbiberach;8426074;1
Möckmühl;8125063;2
Mögglingen;8136043;2
Möglingen;8118051;5
Mönchweiler;8326037;2
Mönsheim;8236039;2
Moos;8335055;2
Moosburg;8426078;1
Mosbach;8225058;3
Mössingen;8416025;4
Mötzingen;8115034;4
Mudau;8225060;1
Muggensturm;8216033;2
Mühlacker;8236040;3
Mühlenbach;8317078;1
Mühlhausen;8226054;2
Mühlhausen im Täle;8117035;2
Mühlhausen-Ehingen;8335097;2
Mühlheim an der Donau;8327036;1
Mühlingen;8335057;2
Mulfingen;8126056;1
Müllheim;8315074;4
Mundelsheim;8118053;4
Munderkingen;8425081;2
Münsingen;8415053;2
Münstertal/Schwarzwald;8315130;3
Murg;8337076;2
Murr;8118054;4
Murrhardt;8119044;2
Mutlangen;8136044;2
Nagold;8235046;4
Nattheim;8135026;1
Neckarbischofsheim;8226055;2
Neckargemünd;8226056;4
Neckargerach;8225064;1
Neckarsulm;8125065;3
Neckartailfingen;8116041;3
Neckartenzlingen;8116042;3
Neckarwestheim;8125066;2
Neckarzimmern;8225067;1
Neenstetten;8425083;2
Nehren;8416026;4
Neidenstein;8226058;2
Neidlingen;8116043;3
Nellingen;8425084;2
Nerenstetten;8425085;2
Neresheim;8136045;2
Neubulach;8235047;2
Neudenau;8125068;2
